RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6653.99,8033.0,6653.99,6653.99,6653.99,6653.99,1.0,0.0,196257.0,187994.85,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6653.99,8033.0,6653.99,6653.99,6653.99,6653.99,1.0,0.0,196257.0,187994.85,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6653.99,8033.0,6653.99,6653.99,6653.99,6653.99,1.0,0.0,196257.0,187994.85,1.0,1928897.36,
