RabA,RabB,RabC,RabD,RabE,area,memC1,memC2,memC3,memS,memS1,memS2,memS3,membraneMarker,proton,solL,solS,solubleMarker,volume,
1602526.41,30787.61,15393.8,15393.8,15393.8,1679495.43,7384.26,80.66,79.72,0.0,1399.76,1925.74,1296.08,1.0,82.79,0.0,0.0,0.0,1.628824835E7,
15393.8,46181.41,1831234.36,292482.28,15393.8,2200685.65,298.44,137.82,7438.84,6.76,142.91,70.18,964.23,0.0,170.27,0.0,0.0,1.0,2.102707233E7,
1681694.55,92362.82,15393.8,15393.8,15393.8,1820238.78,7902.56,72.01,81.33,0.0,1398.45,1973.98,1372.33,1.0,84.76,0.0,0.0,0.0,1.744039484E7,
15393.8,76969.02,1862021.97,246300.86,15393.8,2216079.46,298.44,324.44,7512.91,6.38,146.03,88.23,1004.98,0.0,170.93,0.0,0.0,1.0,2.116176811E7,
1693789.68,61575.22,15393.8,15393.8,15393.8,1801546.31,7954.2,63.41,81.86,0.0,1376.37,1957.31,1402.61,1.0,84.13,0.0,0.0,0.0,1.742059257E7,
15393.8,184725.65,1892809.57,200119.45,15393.8,2308442.28,298.44,761.38,7512.91,6.03,135.52,105.08,1075.71,0.0,175.06,0.0,0.0,1.0,2.196994282E7,
1616820.66,30787.61,15393.8,15393.8,15393.8,1693789.68,7600.01,62.32,80.45,0.0,1299.59,1858.27,1374.33,1.0,82.13,0.0,0.0,0.0,1.647772208E7,
15393.8,138544.24,1831234.36,169331.84,15393.8,2169898.05,298.44,622.95,7450.28,5.67,122.9,49.38,1108.15,0.0,170.66,0.0,0.0,1.0,2.075768076E7,
1533254.29,15393.8,15393.8,15393.8,15393.8,1594829.51,7350.01,31.03,80.1,0.0,1232.38,1754.5,1361.36,1.0,79.41,0.0,0.0,0.0,1.545758314E7,
15393.8,153938.04,1831234.36,246300.86,15393.8,2262260.87,298.44,677.93,7450.28,5.39,110.72,31.88,1153.15,0.0,171.58,0.0,0.0,1.0,2.156585547E7,
1544249.87,15393.8,15393.8,30787.61,15393.8,1621218.89,7400.68,31.24,80.66,0.04,1223.83,1719.65,1443.76,1.0,80.51,0.0,0.0,0.0,1.561876135E7,
15393.8,123150.43,1785052.95,200119.45,15393.8,2139110.44,298.44,610.14,7262.39,4.96,97.79,18.49,1117.91,0.0,164.08,0.0,0.0,1.0,2.048828919E7,
1462882.62,15393.8,15393.8,15393.8,15393.8,1524457.84,6975.63,30.95,79.92,0.0,1144.43,1594.32,1404.49,1.0,77.08,0.0,0.0,0.0,1.481623487E7,
15393.8,138544.24,1862021.97,277088.47,15393.8,2308442.28,183.35,599.66,7589.7,4.85,98.98,37.25,1172.08,0.0,169.44,0.0,0.0,1.0,2.196994282E7,
1448588.37,15393.8,15393.8,15393.8,15393.8,1510163.59,6498.17,30.04,77.56,0.0,1057.36,1460.58,1347.95,1.0,74.37,0.0,0.0,0.0,1.459489857E7,
15393.8,92362.82,1800446.75,200119.45,15393.8,2123716.63,183.35,399.77,7526.95,4.43,83.78,11.7,1151.11,0.0,162.08,0.0,0.0,1.0,2.03535934E7,
1647608.27,46181.41,15393.8,15393.8,15393.8,1739971.09,7670.57,30.94,79.88,0.0,1157.31,1606.43,1547.25,1.0,82.07,0.0,0.0,0.0,1.657219971E7,
15393.8,30787.61,1754265.34,200119.45,15393.8,2015960.01,183.35,199.88,7397.13,4.21,78.52,6.36,1124.85,0.0,157.7,0.0,0.0,1.0,1.941072291E7,
1594829.51,15393.8,15393.8,15393.8,15393.8,1656404.73,7322.44,10.13,78.44,0.0,1084.17,1484.52,1478.99,1.0,78.8,0.0,0.0,0.0,1.604532142E7,
1692690.12,123150.43,15393.8,15393.8,15393.8,1862021.97,7606.07,9.11,78.44,0.0,1105.05,1500.74,1525.12,1.0,80.23,0.0,0.0,0.0,1.776875833E7,
0.0,0.0,0.0,15393.8,0.0,15393.8,0.0,0.0,0.0,0.03,0.61,0.04,8.81,0.0,1.12,0.0,0.0,1.0,134695.79,
1677296.32,184725.65,15393.8,15393.8,15393.8,1908203.38,7536.89,59.04,78.44,0.0,1058.8,1437.71,1517.45,1.0,78.84,0.0,0.0,0.0,1.817284569E7,
0.0,0.0,0.0,15393.8,0.0,15393.8,0.0,0.0,0.0,0.03,0.61,0.04,8.81,0.0,1.12,0.0,0.0,1.0,134695.79,
1615721.1,138544.24,15393.8,15393.8,15393.8,1800446.75,7260.21,49.2,78.44,0.0,996.52,1357.33,1465.56,1.0,75.33,0.0,0.0,0.0,1.722997519E7,
0.0,0.0,0.0,15393.8,0.0,15393.8,0.0,0.0,0.0,0.03,0.61,0.04,8.81,0.0,1.12,0.0,0.0,1.0,134695.79,
15393.8,15393.8,30787.61,1538752.08,61575.22,1661902.51,228.06,302.66,356.53,1.67,19.08,43.08,418.13,0.0,157.99,0.0,0.0,1.0,1.631271985E7,
1569539.69,61575.22,15393.8,15393.8,15393.8,1677296.32,7059.65,27.88,77.77,0.0,935.09,1275.48,1410.31,1.0,72.31,0.0,0.0,0.0,1.615240891E7,
15393.8,15393.8,15393.8,1538752.08,15393.8,1600327.3,228.06,302.66,178.27,1.5,16.81,40.94,413.73,0.0,155.37,0.0,0.0,1.0,1.577393671E7,
1535453.41,15393.8,15393.8,15393.8,15393.8,1597028.63,6911.92,10.24,76.14,0.0,891.42,1197.56,1390.92,1.0,71.11,0.0,0.0,0.0,1.544657899E7,
15393.8,15393.8,107756.63,1569539.69,30787.61,1738871.53,228.06,302.66,653.86,1.54,17.82,37.44,467.46,0.0,160.83,0.0,0.0,1.0,1.698619877E7,
1583833.94,46181.41,15393.8,15393.8,15393.8,1676196.76,6911.92,10.23,76.14,0.0,889.38,1179.36,1411.17,1.0,71.11,0.0,0.0,0.0,1.60766311E7,
