#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
8.0,16.0,1.54843,0.66354,0.12177,0.23684,0.22665,0.29481,0.11991,
8.0,23.0,1.43983,0.68906,0.12235,0.38451,0.08255,0.29523,0.11536,
9.0,8.0,1.4177,0.67868,0.11277,0.42487,0.07793,0.26075,0.12367,
9.0,33.0,1.46789,0.63688,0.08292,0.37248,0.17957,0.26188,0.10315,
8.0,11.0,1.46136,0.68482,0.12154,0.35114,0.09181,0.31548,0.12003,
8.0,18.0,1.46235,0.70263,0.10196,0.36495,0.08544,0.15975,0.28789,
8.0,4.0,1.53774,0.71087,0.23473,0.24307,0.08275,0.15651,0.28293,
9.0,20.0,1.54518,0.5453,0.25162,0.23243,0.15261,0.09061,0.27273,
10.0,10.0,1.54603,0.59177,0.23811,0.23536,0.16336,0.08703,0.27613,
9.0,17.0,1.53325,0.55519,0.16139,0.32871,0.1727,0.09805,0.23916,
9.0,21.0,1.53826,0.47226,0.15652,0.29999,0.18456,0.0947,0.26423,
9.0,8.0,1.53571,0.50749,0.18009,0.32574,0.16536,0.09564,0.23316,
10.0,13.0,1.5613,0.49645,0.16513,0.2842,0.23441,0.10672,0.20954,
8.0,3.0,1.45848,0.66606,0.104,0.39158,0.14699,0.09441,0.26302,
8.0,21.0,1.46298,0.59314,0.08529,0.38976,0.12752,0.13767,0.25977,
8.0,12.0,1.50524,0.60721,0.11887,0.29826,0.26381,0.07602,0.24304,
8.0,15.0,1.50837,0.62121,0.13447,0.28448,0.27741,0.06946,0.23417,
7.0,27.0,1.55087,0.626,0.12398,0.27807,0.12906,0.27835,0.19054,
8.0,24.0,1.55541,0.60474,0.13597,0.27735,0.12618,0.27592,0.18457,
8.0,11.0,1.5159,0.59225,0.1217,0.27768,0.31451,0.09507,0.19104,
8.0,20.0,1.52701,0.49186,0.1195,0.25736,0.3246,0.1123,0.18624,
8.0,18.0,1.60338,0.62298,0.17289,0.24063,0.2015,0.19375,0.19123,
8.0,17.0,1.60222,0.62612,0.185,0.22765,0.23092,0.18266,0.17377,
9.0,18.0,1.59357,0.53658,0.18783,0.21936,0.14172,0.24688,0.20421,
9.0,4.0,1.57716,0.60967,0.20441,0.24994,0.14513,0.26012,0.14039,
8.0,11.0,1.58732,0.54819,0.20568,0.22174,0.15562,0.26448,0.15247,
6.0,14.0,1.59564,0.63159,0.22594,0.22387,0.14534,0.1797,0.22515,
6.0,5.0,1.60533,0.71765,0.21144,0.21446,0.21175,0.1668,0.19555,
6.0,14.0,1.60423,0.64491,0.20563,0.19765,0.23474,0.17233,0.18964,
8.0,13.0,1.60304,0.66318,0.22262,0.23242,0.18257,0.17719,0.18519,
7.0,14.0,1.5755,0.63841,0.18013,0.30492,0.18638,0.18243,0.14613,
7.0,12.0,1.33477,0.66417,0.31723,0.18587,0.0,0.33954,0.15736,
7.0,4.0,1.51816,0.63139,0.30173,0.17473,0.07507,0.27817,0.17031,
6.0,9.0,1.59792,0.61543,0.19381,0.17563,0.17475,0.25991,0.1959,
6.0,8.0,1.58722,0.5553,0.18511,0.17237,0.16663,0.2864,0.1895,
6.0,21.0,1.56847,0.61504,0.1989,0.15669,0.15114,0.31513,0.17814,
7.0,5.0,1.54227,0.61755,0.10939,0.24523,0.14954,0.31818,0.17765,
7.0,10.0,1.5094,0.61303,0.12538,0.27396,0.15104,0.34027,0.10935,
7.0,22.0,1.48617,0.61865,0.12781,0.28666,0.15108,0.34763,0.08683,
8.0,6.0,1.52332,0.63117,0.11499,0.26931,0.1294,0.32905,0.15725,
11.0,14.0,1.51834,0.44488,0.12715,0.33302,0.10983,0.26887,0.16113,
10.0,15.0,1.41535,0.58864,0.05548,0.41542,0.10566,0.24388,0.17955,
9.0,31.0,1.57896,0.61253,0.11711,0.23151,0.23803,0.23649,0.17686,
9.0,46.0,1.59176,0.49949,0.1445,0.21601,0.17012,0.24595,0.22341,
10.0,8.0,1.60517,0.71466,0.21307,0.19103,0.22502,0.17097,0.1999,
10.0,15.0,1.59689,0.59479,0.21274,0.19403,0.24354,0.14729,0.2024,
9.0,9.0,1.58609,0.6065,0.18704,0.18877,0.25432,0.23671,0.13317,
9.0,4.0,1.5902,0.66611,0.18328,0.22479,0.24327,0.21432,0.13434,
9.0,19.0,1.57478,0.5907,0.14339,0.2603,0.24933,0.21099,0.13599,
8.0,6.0,1.58289,0.59403,0.19479,0.22914,0.23643,0.11722,0.2224,
8.0,17.0,1.60628,0.60213,0.18729,0.21506,0.20693,0.17568,0.21503,
9.0,6.0,1.54647,0.71659,0.20134,0.12244,0.13854,0.32896,0.20872,
8.0,14.0,1.55547,0.84678,0.20408,0.12447,0.19601,0.32223,0.15322,
7.0,14.0,1.55475,0.87279,0.18033,0.1217,0.20662,0.32496,0.16638,
7.0,8.0,1.57378,0.87561,0.19962,0.16664,0.18412,0.30485,0.14477,
8.0,20.0,1.5692,0.71347,0.2104,0.13093,0.24285,0.27462,0.1412,
9.0,25.0,1.58169,0.68498,0.19477,0.17745,0.2398,0.2594,0.12857,
8.0,30.0,1.55958,0.72535,0.1903,0.19248,0.1496,0.32575,0.14186,
9.0,18.0,1.53267,0.70996,0.2824,0.0924,0.18718,0.28991,0.14811,
9.0,8.0,1.58334,0.74842,0.21223,0.17524,0.18206,0.28377,0.1467,
8.0,9.0,1.52359,0.74796,0.30607,0.08258,0.22633,0.24657,0.13844,
7.0,11.0,1.45965,0.7995,0.08593,0.28123,0.3546,0.08164,0.19659,
7.0,10.0,1.50495,0.66846,0.14417,0.21204,0.36099,0.08376,0.19903,
10.0,25.0,1.60434,0.53184,0.18813,0.20023,0.21838,0.169,0.22426,
8.0,7.0,1.42808,0.67824,0.32933,0.09595,0.0803,0.36271,0.13171,
10.0,10.0,1.4984,0.63442,0.34343,0.10644,0.09044,0.2208,0.23889,
8.0,12.0,1.50265,0.65188,0.34079,0.09902,0.10076,0.22223,0.23719,
8.0,12.0,1.53037,0.64054,0.3236,0.11312,0.11497,0.21491,0.2334,
7.0,29.0,1.483,0.67551,0.30977,0.075,0.11576,0.1852,0.31428,
7.0,14.0,1.56415,0.84539,0.25618,0.11303,0.16018,0.19947,0.27113,
7.0,21.0,1.52589,0.8076,0.28187,0.09592,0.12226,0.21131,0.28864,
7.0,38.0,1.54539,0.76082,0.27954,0.12183,0.11715,0.2087,0.27278,
6.0,27.0,1.52918,0.77745,0.35085,0.12918,0.11847,0.20606,0.19543,
7.0,19.0,1.57416,0.66306,0.30222,0.1465,0.19638,0.1577,0.1972,
8.0,15.0,1.56396,0.67371,0.29347,0.13995,0.22333,0.12874,0.21451,
8.0,8.0,1.56769,0.65597,0.24648,0.14808,0.23667,0.11737,0.2514,
9.0,9.0,1.57764,0.63696,0.23125,0.17117,0.24675,0.11809,0.23273,
